date_trunc,project,usd_volume
2019-07-01T00:00:00+00:00,0x Native,17965592.22843755363104721942
2019-08-01T00:00:00+00:00,0x Native,28328913.69191089213367160806
2019-09-01T00:00:00+00:00,0x Native,28010884.99008850602300078081
2019-10-01T00:00:00+00:00,0x Native,29594718.87252099068026056069
2019-11-01T00:00:00+00:00,0x Native,32028563.01278722809317834365
2019-12-01T00:00:00+00:00,0x Native,25360511.17345110953865188447293
2020-01-01T00:00:00+00:00,0x Native,33718981.033734779887504499739436
2020-02-01T00:00:00+00:00,0x Native,84645111.009474413883766808122808
2020-03-01T00:00:00+00:00,0x Native,140121529.270502499456959462384931
2020-04-01T00:00:00+00:00,0x Native,120925123.1008180637227697406410
2020-05-01T00:00:00+00:00,0x Native,122078085.763886616167596882145
2020-06-01T00:00:00+00:00,0x Native,141773520.16079608984864052677
2020-07-01T00:00:00+00:00,0x Native,305094717.503389250406151765919
2020-08-01T00:00:00+00:00,0x Native,553137263.047768702489451738199104
2020-09-01T00:00:00+00:00,0x Native,877055903.99920479921497299583
2020-10-01T00:00:00+00:00,0x Native,1314555815.1945015371785278222
2020-11-01T00:00:00+00:00,0x Native,1282616882.096982364665478197306564
2020-12-01T00:00:00+00:00,0x Native,2660612344.8405568384294199040893
2021-01-01T00:00:00+00:00,0x Native,4757991821.863633139139797726115345
2021-02-01T00:00:00+00:00,0x Native,5100544861.215949105922034647781688
2021-03-01T00:00:00+00:00,0x Native,3411851835.960749160235334426274258
2021-04-01T00:00:00+00:00,0x Native,4693907922.516099327979318825135536
2021-05-01T00:00:00+00:00,0x Native,735294799.009465817555349877512418
2021-01-01T00:00:00+00:00,1inch LP,245199127.5606009614
2021-02-01T00:00:00+00:00,1inch LP,429004345.9998136823
2021-03-01T00:00:00+00:00,1inch LP,50016507.6020205175
2021-04-01T00:00:00+00:00,1inch LP,383482.4790097848
2021-05-01T00:00:00+00:00,1inch LP,155078.4218919909
2020-03-01T00:00:00+00:00,Balancer,14219.151979438291391311
2020-04-01T00:00:00+00:00,Balancer,861062.8169938315531237013
2020-05-01T00:00:00+00:00,Balancer,3785006.84529775793041585058
