day,outstanding_usd_value,project
2020-11-04T00:00:00+00:00,297219902.0052276,Aave
2020-11-04T00:00:00+00:00,1311221753.9503062,Compound
2020-11-04T00:00:00+00:00,942248804.1198728,MakerDAO
2020-11-05T00:00:00+00:00,307389222.257467,Aave
2020-11-05T00:00:00+00:00,1342835308.1495028,Compound
2020-11-05T00:00:00+00:00,943887155.2766038,MakerDAO
2020-11-06T00:00:00+00:00,319081730.9829596,Aave
2020-11-06T00:00:00+00:00,1376972117.0221946,Compound
2020-11-06T00:00:00+00:00,954416239.9789484,MakerDAO
2020-11-07T00:00:00+00:00,341448352.58429956,Aave
2020-11-07T00:00:00+00:00,1384919020.2892294,Compound
2020-11-07T00:00:00+00:00,952976387.0132049,MakerDAO
2020-11-08T00:00:00+00:00,336823275.6920206,Aave
2020-11-08T00:00:00+00:00,1405174487.5706227,Compound
2020-11-08T00:00:00+00:00,953181872.5536791,MakerDAO
2020-11-09T00:00:00+00:00,337081837.57654136,Aave
2020-11-09T00:00:00+00:00,1463163593.4609313,Compound
2020-11-09T00:00:00+00:00,951213755.3457713,MakerDAO
2020-11-10T00:00:00+00:00,349966665.2233977,Aave
2020-11-10T00:00:00+00:00,1481195185.5664165,Compound
2020-11-10T00:00:00+00:00,957157875.4254621,MakerDAO
2020-11-11T00:00:00+00:00,357230927.6103778,Aave
2020-11-11T00:00:00+00:00,1555995460.8156328,Compound
2020-11-11T00:00:00+00:00,993518343.7337881,MakerDAO
2020-11-12T00:00:00+00:00,346780504.8303861,Aave
2020-11-12T00:00:00+00:00,1554221608.7652314,Compound
2020-11-12T00:00:00+00:00,986463614.9701647,MakerDAO
2020-11-13T00:00:00+00:00,354245498.01781726,Aave
2020-11-13T00:00:00+00:00,1608269328.3401964,Compound
2020-11-13T00:00:00+00:00,997674442.7003163,MakerDAO
2020-11-14T00:00:00+00:00,348011113.0390709,Aave
2020-11-14T00:00:00+00:00,1571081373.2823594,Compound
2020-11-14T00:00:00+00:00,988843798.8867369,MakerDAO
2020-11-15T00:00:00+00:00,350004228.0970065,Aave
2020-11-15T00:00:00+00:00,1586724272.8697236,Compound
2020-11-15T00:00:00+00:00,998391262.8058522,MakerDAO
2020-11-16T00:00:00+00:00,345230744.7560027,Aave
2020-11-16T00:00:00+00:00,1605255942.9037745,Compound
2020-11-16T00:00:00+00:00,1010972914.3843942,MakerDAO
2020-11-17T00:00:00+00:00,358365182.2349057,Aave
2020-11-17T00:00:00+00:00,1596529885.3932927,Compound
2020-11-17T00:00:00+00:00,1011631820.1326594,MakerDAO
2020-11-18T00:00:00+00:00,379036943.2988205,Aave
2020-11-18T00:00:00+00:00,1667133598.5416927,Compound
2020-11-18T00:00:00+00:00,997892732.1949701,MakerDAO
2020-11-19T00:00:00+00:00,393461948.0927187,Aave
2020-11-19T00:00:00+00:00,1658691036.7169046,Compound
2020-11-19T00:00:00+00:00,987692124.0586089,MakerDAO
2020-11-20T00:00:00+00:00,420089521.8848575,Aave
2020-11-20T00:00:00+00:00,1683776042.7590678,Compound
2020-11-20T00:00:00+00:00,1000795150.0983421,MakerDAO
2020-11-21T00:00:00+00:00,425140050.97292274,Aave
2020-11-21T00:00:00+00:00,1712265844.29872,Compound
2020-11-21T00:00:00+00:00,1019433615.3471079,MakerDAO
2020-11-22T00:00:00+00:00,423220333.2206959,Aave
2020-11-22T00:00:00+00:00,1739324739.3971415,Compound
2020-11-22T00:00:00+00:00,1004257021.9737887,MakerDAO
2020-11-23T00:00:00+00:00,441295746.00220716,Aave
2020-11-23T00:00:00+00:00,1759299950.7304637,Compound
2020-11-23T00:00:00+00:00,1004420535.596828,MakerDAO
2020-11-24T00:00:00+00:00,459533573.3490519,Aave
2020-11-24T00:00:00+00:00,1783099052.8077652,Compound
2020-11-24T00:00:00+00:00,1023004132.0712513,MakerDAO
2020-11-25T00:00:00+00:00,439590781.0925533,Aave
2020-11-25T00:00:00+00:00,1765285315.0356,Compound
2020-11-25T00:00:00+00:00,1028149867.2433803,MakerDAO
2020-11-26T00:00:00+00:00,416865316.77607745,Aave
2020-11-26T00:00:00+00:00,1498459225.615933,Compound
2020-11-26T00:00:00+00:00,999967910.0324813,MakerDAO
2020-11-27T00:00:00+00:00,414786409.56862617,Aave
2020-11-27T00:00:00+00:00,1567861712.612425,Compound
2020-11-27T00:00:00+00:00,1001160888.6438715,MakerDAO
2020-11-28T00:00:00+00:00,412083361.0227163,Aave
2020-11-28T00:00:00+00:00,1586187586.7403116,Compound
2020-11-28T00:00:00+00:00,998674483.6637014,MakerDAO
2020-11-29T00:00:00+00:00,414096216.5587187,Aave
2020-11-29T00:00:00+00:00,1590749207.673385,Compound
2020-11-29T00:00:00+00:00,1013695773.7527583,MakerDAO
2020-11-30T00:00:00+00:00,438637022.658511,Aave
2020-11-30T00:00:00+00:00,1656774058.8595653,Compound
2020-11-30T00:00:00+00:00,1031291508.464351,MakerDAO
