date,total_users
2020-07-26T00:00:00+00:00,180
2020-07-27T00:00:00+00:00,208
2020-07-28T00:00:00+00:00,237
2020-07-29T00:00:00+00:00,298
2020-07-30T00:00:00+00:00,404
2020-07-31T00:00:00+00:00,517
2020-08-01T00:00:00+00:00,870
2020-08-02T00:00:00+00:00,1042
2020-08-03T00:00:00+00:00,1185
2020-08-04T00:00:00+00:00,1279
2020-08-05T00:00:00+00:00,1352
2020-08-06T00:00:00+00:00,1494
2020-08-07T00:00:00+00:00,1588
2020-08-08T00:00:00+00:00,1630
2020-08-09T00:00:00+00:00,1687
2020-08-10T00:00:00+00:00,1745
2020-08-11T00:00:00+00:00,1828
2020-08-12T00:00:00+00:00,1879
2020-08-13T00:00:00+00:00,1966
2020-08-14T00:00:00+00:00,2055
2020-08-15T00:00:00+00:00,2170
2020-08-16T00:00:00+00:00,2379
2020-08-17T00:00:00+00:00,2582
2020-08-18T00:00:00+00:00,2788
2020-08-19T00:00:00+00:00,3179
2020-08-20T00:00:00+00:00,3974
2020-08-21T00:00:00+00:00,4282
2020-08-22T00:00:00+00:00,4605
2020-08-23T00:00:00+00:00,4920
2020-08-24T00:00:00+00:00,5178
2020-08-25T00:00:00+00:00,5392
2020-08-26T00:00:00+00:00,5630
2020-08-27T00:00:00+00:00,5848
2020-08-28T00:00:00+00:00,6106
2020-08-29T00:00:00+00:00,6393
2020-08-30T00:00:00+00:00,6621
2020-08-31T00:00:00+00:00,6891
2020-09-01T00:00:00+00:00,7199
2020-09-02T00:00:00+00:00,9154
2020-09-03T00:00:00+00:00,10264
2020-09-04T00:00:00+00:00,10581
2020-09-05T00:00:00+00:00,10778
2020-09-06T00:00:00+00:00,11095
2020-09-07T00:00:00+00:00,11479
2020-09-08T00:00:00+00:00,11867
2020-09-09T00:00:00+00:00,12292
2020-09-10T00:00:00+00:00,12572
2020-09-11T00:00:00+00:00,12922
2020-09-12T00:00:00+00:00,13356
2020-09-13T00:00:00+00:00,13721
2020-09-14T00:00:00+00:00,13980
2020-09-15T00:00:00+00:00,14293
2020-09-16T00:00:00+00:00,14622
2020-09-17T00:00:00+00:00,14722
2020-09-18T00:00:00+00:00,15017
2020-09-19T00:00:00+00:00,15720
2020-09-20T00:00:00+00:00,16167
2020-09-21T00:00:00+00:00,16438
2020-09-22T00:00:00+00:00,16633
2020-09-23T00:00:00+00:00,16789
2020-09-24T00:00:00+00:00,17008
2020-09-25T00:00:00+00:00,17203
2020-09-26T00:00:00+00:00,17367
2020-09-27T00:00:00+00:00,17515
2020-09-28T00:00:00+00:00,17645
2020-09-29T00:00:00+00:00,17741
2020-09-30T00:00:00+00:00,17822
2020-10-01T00:00:00+00:00,17957
2020-10-02T00:00:00+00:00,18117
2020-10-03T00:00:00+00:00,18340
2020-10-04T00:00:00+00:00,18667
2020-10-05T00:00:00+00:00,18953
2020-10-06T00:00:00+00:00,19222
2020-10-07T00:00:00+00:00,19463
2020-10-08T00:00:00+00:00,19656
2020-10-09T00:00:00+00:00,19821
2020-10-10T00:00:00+00:00,20179
2020-10-11T00:00:00+00:00,20781
2020-10-12T00:00:00+00:00,21399
2020-10-13T00:00:00+00:00,21659
2020-10-14T00:00:00+00:00,21728
2020-10-15T00:00:00+00:00,21785
2020-10-16T00:00:00+00:00,21845
2020-10-17T00:00:00+00:00,21914
2020-10-18T00:00:00+00:00,21994
2020-10-19T00:00:00+00:00,22039
2020-10-20T00:00:00+00:00,22086
2020-10-21T00:00:00+00:00,22136
2020-10-22T00:00:00+00:00,22193
2020-10-23T00:00:00+00:00,22242
2020-10-24T00:00:00+00:00,22303
2020-10-25T00:00:00+00:00,22392
2020-10-26T00:00:00+00:00,22501
2020-10-27T00:00:00+00:00,22584
2020-10-28T00:00:00+00:00,22679
2020-10-29T00:00:00+00:00,22764
2020-10-30T00:00:00+00:00,22830
2020-10-31T00:00:00+00:00,22888
2020-11-01T00:00:00+00:00,22946
2020-11-02T00:00:00+00:00,22989
2020-11-03T00:00:00+00:00,23027
2020-11-04T00:00:00+00:00,23065
2020-11-05T00:00:00+00:00,23101
2020-11-06T00:00:00+00:00,23142
2020-11-07T00:00:00+00:00,23191
2020-11-08T00:00:00+00:00,23227
2020-11-09T00:00:00+00:00,23278
2020-11-10T00:00:00+00:00,23314
2020-11-11T00:00:00+00:00,23353
2020-11-12T00:00:00+00:00,23387
2020-11-13T00:00:00+00:00,23427
2020-11-14T00:00:00+00:00,23456
2020-11-15T00:00:00+00:00,23500
2020-11-16T00:00:00+00:00,23555
2020-11-17T00:00:00+00:00,23613
2020-11-18T00:00:00+00:00,23657
2020-11-19T00:00:00+00:00,23731
2020-11-20T00:00:00+00:00,23779
2020-11-21T00:00:00+00:00,23840
2020-11-22T00:00:00+00:00,23886
2020-11-23T00:00:00+00:00,23935
2020-11-24T00:00:00+00:00,23965
2020-11-25T00:00:00+00:00,24020
2020-11-26T00:00:00+00:00,24053
2020-11-27T00:00:00+00:00,24097
2020-11-28T00:00:00+00:00,24160
2020-11-29T00:00:00+00:00,24218
2020-11-30T00:00:00+00:00,24248
2020-12-01T00:00:00+00:00,24273
2020-12-02T00:00:00+00:00,24319
2020-12-03T00:00:00+00:00,24361
2020-12-04T00:00:00+00:00,24385
2020-12-05T00:00:00+00:00,24425
2020-12-06T00:00:00+00:00,24472
2020-12-07T00:00:00+00:00,24526
2020-12-08T00:00:00+00:00,24564
2020-12-09T00:00:00+00:00,24589
2020-12-10T00:00:00+00:00,24626
2020-12-11T00:00:00+00:00,24659
2020-12-12T00:00:00+00:00,24710
2020-12-13T00:00:00+00:00,24752
2020-12-14T00:00:00+00:00,24792
2020-12-15T00:00:00+00:00,24825
2020-12-16T00:00:00+00:00,24851
2020-12-17T00:00:00+00:00,24864
2020-12-18T00:00:00+00:00,24899
2020-12-19T00:00:00+00:00,24931
2020-12-20T00:00:00+00:00,24973
2020-12-21T00:00:00+00:00,25010
2020-12-22T00:00:00+00:00,25039
2020-12-23T00:00:00+00:00,25056
2020-12-24T00:00:00+00:00,25079
2020-12-25T00:00:00+00:00,25104
2020-12-26T00:00:00+00:00,25140
2020-12-27T00:00:00+00:00,25163
2020-12-28T00:00:00+00:00,25188
2020-12-29T00:00:00+00:00,25214
2020-12-30T00:00:00+00:00,25239
