project,date_trunc,usd_volume
0x Native,2021-05-18T00:00:00+00:00,400028593.395456401920
Mooniswap,2021-05-13T00:00:00+00:00,309990.013447955445
dYdX,2021-05-02T00:00:00+00:00,6705621.624704014579
dYdX,2021-04-26T00:00:00+00:00,10794027.0336734278755
Mooniswap,2021-05-18T00:00:00+00:00,544548.047317616621
Bancor Network,2021-05-08T00:00:00+00:00,87631867.1700079261214
Uniswap,2021-05-22T00:00:00+00:00,2126256756.674903818067269636715009
dYdX,2021-04-25T00:00:00+00:00,6281428.85668202479525
Futureswap,2021-05-03T00:00:00+00:00,
dodo,2021-05-20T00:00:00+00:00,109953184.908175839298
Uniswap,2021-05-01T00:00:00+00:00,1149324091.903094641022151133896597
dYdX,2021-05-09T00:00:00+00:00,21587167.63359000518
Kyber,2021-05-15T00:00:00+00:00,15119173.6905290761036
airswap,2021-05-21T00:00:00+00:00,4175383.8966722728305
dYdX,2021-04-28T00:00:00+00:00,23165189.310942264031
0x Native,2021-05-07T00:00:00+00:00,233840253.13263394069113476732
LINKSWAP,2021-04-24T00:00:00+00:00,306829.234098607880970
Mooniswap,2021-04-28T00:00:00+00:00,671849.7302211881948
Balancer,2021-05-20T00:00:00+00:00,202735898.2617183707245
0x Native,2021-04-26T00:00:00+00:00,240371907.6604292374796
Balancer,2021-05-13T00:00:00+00:00,197600127.37459017256750
Futureswap,2021-04-28T00:00:00+00:00,
dYdX,2021-05-07T00:00:00+00:00,6765426.098049615179
Bancor Network,2021-05-07T00:00:00+00:00,127415492.520219198393468
Tokenlon,2021-04-27T00:00:00+00:00,42447180.046030687137
Synthetix,2021-05-03T00:00:00+00:00,24857055.92236162956879549368
Curve,2021-05-18T00:00:00+00:00,194681271.88651538354134
Synthetix,2021-05-20T00:00:00+00:00,139363288.994568504899036710930000
Tokenlon,2021-05-22T00:00:00+00:00,85780136.841543737574
Mooniswap,2021-05-02T00:00:00+00:00,897910.9065303667338
Balancer,2021-05-07T00:00:00+00:00,65720789.4798902480558621
Curve,2021-05-08T00:00:00+00:00,128539106.56365210500543
dodo,2021-05-09T00:00:00+00:00,39348800.6608621676037
Curve,2021-04-25T00:00:00+00:00,88441653.955482577250752
0x Native,2021-05-15T00:00:00+00:00,352001966.844438002634862659916
Kyber,2021-04-24T00:00:00+00:00,4263765.08683431950547
Futureswap,2021-04-27T00:00:00+00:00,
Kyber,2021-05-10T00:00:00+00:00,16061761.5510373629329
Tokenlon,2021-05-07T00:00:00+00:00,46168358.989732817748
Kyber,2021-05-16T00:00:00+00:00,16142151.53788728519367
1inch LP,2021-04-26T00:00:00+00:00,14472.7686555408
0x Native,2021-05-16T00:00:00+00:00,481424244.72246515324191154056
dYdX,2021-05-08T00:00:00+00:00,13026651.436667955469
Uniswap,2021-05-14T00:00:00+00:00,2320150205.366828810817790175850237
Sushiswap,2021-05-17T00:00:00+00:00,940160599.79666557302787495070
LINKSWAP,2021-05-20T00:00:00+00:00,75655.151972348066
LINKSWAP,2021-05-09T00:00:00+00:00,176016.50557656126208
Curve,2021-05-07T00:00:00+00:00,194955209.841175390437
1inch LP,2021-05-18T00:00:00+00:00,11548.8276378786
Kyber,2021-05-09T00:00:00+00:00,10690236.68839941513235
dodo,2021-05-03T00:00:00+00:00,57072352.9788954335564
Tokenlon,2021-04-25T00:00:00+00:00,34345695.712718011228
Synthetix,2021-05-04T00:00:00+00:00,97523142.28645190631211148607
Balancer,2021-05-08T00:00:00+00:00,86374266.9561053778226
Futureswap,2021-05-18T00:00:00+00:00,
Sushiswap,2021-05-16T00:00:00+00:00,688555500.586767927223062258
Balancer,2021-05-02T00:00:00+00:00,59934096.41616266763043043
0x Native,2021-05-17T00:00:00+00:00,486839287.9893850500878245112
Uniswap,2021-05-13T00:00:00+00:00,3366290682.6494863542410616807088
Synthetix,2021-04-24T00:00:00+00:00,13378727.96796965838876786912
Curve,2021-05-20T00:00:00+00:00,618135371.537586753805
dodo,2021-04-30T00:00:00+00:00,36758610.9500012101536
Balancer,2021-05-22T00:00:00+00:00,121624338.940187978105454874148709
Mooniswap,2021-05-22T00:00:00+00:00,230779.1875741000898
airswap,2021-05-18T00:00:00+00:00,5948956.2052118098306
Mooniswap,2021-05-20T00:00:00+00:00,550353.2328335442477
dodo,2021-05-01T00:00:00+00:00,32047149.7960682494246
1inch LP,2021-05-19T00:00:00+00:00,52936.1097798980
Bancor Network,2021-05-22T00:00:00+00:00,147007117.81319194287395104274
Curve,2021-04-30T00:00:00+00:00,111483365.782138000977
Bancor Network,2021-05-11T00:00:00+00:00,117857181.2215001778225409
Synthetix,2021-05-16T00:00:00+00:00,25565041.77872559874369243451
dYdX,2021-04-24T00:00:00+00:00,4362554.759934358936
Synthetix,2021-05-19T00:00:00+00:00,86577865.26154541354686219634
Bancor Network,2021-04-30T00:00:00+00:00,90743445.74191899818265106258
Kyber,2021-05-08T00:00:00+00:00,12565758.2800660157458
Sushiswap,2021-04-27T00:00:00+00:00,364651194.386915312681725921136804
Uniswap,2021-05-21T00:00:00+00:00,3201861278.067079117580134821965683
Sushiswap,2021-05-06T00:00:00+00:00,499258846.3362362545903253
1inch LP,2021-04-29T00:00:00+00:00,19320.2351660618
dodo,2021-05-16T00:00:00+00:00,82042776.581413951864
Synthetix,2021-04-25T00:00:00+00:00,9495494.26152352007858420837
Sushiswap,2021-05-02T00:00:00+00:00,277326176.89073752342914028748
dYdX,2021-05-04T00:00:00+00:00,12251522.285362051765
Curve,2021-05-14T00:00:00+00:00,422451185.402735473346
Bancor Network,2021-05-01T00:00:00+00:00,98109756.39849685529736275957
Bancor Network,2021-05-16T00:00:00+00:00,120956252.379995677320411
Tokenlon,2021-05-09T00:00:00+00:00,124600736.94524187494
1inch LP,2021-05-21T00:00:00+00:00,13800.2267950283
LINKSWAP,2021-05-12T00:00:00+00:00,92493.84804241545984
Synthetix,2021-04-26T00:00:00+00:00,21617510.38838979311308217066
Mooniswap,2021-05-23T00:00:00+00:00,431670.650606560864
Curve,2021-04-28T00:00:00+00:00,188633269.182877558601011
LINKSWAP,2021-04-30T00:00:00+00:00,557689.6651279328721
LINKSWAP,2021-05-06T00:00:00+00:00,165027.70765279878072
Synthetix,2021-05-17T00:00:00+00:00,28383452.84948764722581245637
Uniswap,2021-05-08T00:00:00+00:00,3068724278.59052018758866965313865
Kyber,2021-05-19T00:00:00+00:00,24692317.7795616131319
1inch LP,2021-05-20T00:00:00+00:00,41910.0368368501
LINKSWAP,2021-05-18T00:00:00+00:00,90254.627689578131683
Tokenlon,2021-05-02T00:00:00+00:00,35286077.609632887523
dYdX,2021-05-14T00:00:00+00:00,13969052.035393001067
Balancer,2021-05-18T00:00:00+00:00,165154284.60864728496072
Mooniswap,2021-05-06T00:00:00+00:00,235153.558579958947
dodo,2021-05-11T00:00:00+00:00,23976339.081968132543
Bancor Network,2021-04-24T00:00:00+00:00,74643628.42929091940669467413
Curve,2021-05-22T00:00:00+00:00,191486196.75728700225735
Tokenlon,2021-04-26T00:00:00+00:00,53180089.117351893286
1inch LP,2021-05-07T00:00:00+00:00,9185.0489724623
Balancer,2021-04-29T00:00:00+00:00,87195184.855072893240008
Futureswap,2021-05-12T00:00:00+00:00,
0x Native,2021-05-03T00:00:00+00:00,417658702.38139947882526812495104
Futureswap,2021-05-06T00:00:00+00:00,
dYdX,2021-05-06T00:00:00+00:00,10408119.248066612117
Uniswap,2021-04-29T00:00:00+00:00,1137390988.374690663194374226303024
dodo,2021-05-06T00:00:00+00:00,31524238.137744887652
Uniswap,2021-04-28T00:00:00+00:00,1260678115.908079426070883978159427
Uniswap,2021-05-18T00:00:00+00:00,2408508717.629950285540381011058
Tokenlon,2021-05-14T00:00:00+00:00,80783408.924513046310
dodo,2021-05-23T00:00:00+00:00,114066039.421414552752441
Balancer,2021-05-15T00:00:00+00:00,98835462.70164315253025
Uniswap,2021-05-07T00:00:00+00:00,1376155049.59982474200844831422744
LINKSWAP,2021-05-11T00:00:00+00:00,118731.8957408904191
dYdX,2021-05-18T00:00:00+00:00,27215958.4467668030278
Mooniswap,2021-05-12T00:00:00+00:00,224074.369948943250
Bancor Network,2021-05-10T00:00:00+00:00,166366839.86184718706044311778
Sushiswap,2021-05-19T00:00:00+00:00,2841397769.768023013823578595484682
0x Native,2021-04-30T00:00:00+00:00,188816261.483932543331017108283616
airswap,2021-05-20T00:00:00+00:00,3324726.45140589374966
Kyber,2021-04-27T00:00:00+00:00,5599754.61467050981893
Synthetix,2021-05-05T00:00:00+00:00,17035668.59113071903749605195
Futureswap,2021-05-08T00:00:00+00:00,
Balancer,2021-05-01T00:00:00+00:00,112948951.91463913378948376
Kyber,2021-04-26T00:00:00+00:00,10779261.007295801741945963942797919
1inch LP,2021-04-25T00:00:00+00:00,30747.7427964668
Tokenlon,2021-05-11T00:00:00+00:00,79331176.45495062832
Balancer,2021-05-06T00:00:00+00:00,75576595.44567959149706
LINKSWAP,2021-05-08T00:00:00+00:00,301139.91685343017640
airswap,2021-05-10T00:00:00+00:00,7618749.5854512627014
dYdX,2021-05-10T00:00:00+00:00,33943814.83401725281
Tokenlon,2021-05-03T00:00:00+00:00,76781208.882158453365
Kyber,2021-05-01T00:00:00+00:00,9740342.9552599319117
airswap,2021-05-08T00:00:00+00:00,9469379.5698739093737
Mooniswap,2021-05-14T00:00:00+00:00,221656.611558790235
Sushiswap,2021-05-21T00:00:00+00:00,1177640558.31952452837856181655
1inch LP,2021-04-24T00:00:00+00:00,12616.8282475663
LINKSWAP,2021-05-04T00:00:00+00:00,436870.2297148356370
Futureswap,2021-05-14T00:00:00+00:00,
LINKSWAP,2021-05-17T00:00:00+00:00,70010.84697279530645
1inch LP,2021-05-16T00:00:00+00:00,33936.3115835226
LINKSWAP,2021-05-23T00:00:00+00:00,69727.1725057301844
Mooniswap,2021-05-11T00:00:00+00:00,220112.167544407894
Bancor Network,2021-05-06T00:00:00+00:00,110257884.425243341209716633
Uniswap,2021-05-12T00:00:00+00:00,3704177005.32915018098597047311
Mooniswap,2021-05-10T00:00:00+00:00,327589.042678108348
Tokenlon,2021-05-05T00:00:00+00:00,66343998.514287757962
Synthetix,2021-05-22T00:00:00+00:00,33130711.42649922637186431112
Curve,2021-05-16T00:00:00+00:00,291362322.786285662961
Curve,2021-04-27T00:00:00+00:00,231458179.16383082640154
Mooniswap,2021-05-08T00:00:00+00:00,474864.069056076845
0x Native,2021-04-25T00:00:00+00:00,176559010.20441796330505376785
Futureswap,2021-05-04T00:00:00+00:00,
Mooniswap,2021-04-29T00:00:00+00:00,676173.44386956587222
LINKSWAP,2021-04-25T00:00:00+00:00,249451.41671582385801
Mooniswap,2021-05-16T00:00:00+00:00,1163343.870015941524
Uniswap,2021-04-26T00:00:00+00:00,1248573544.1143343410768821057680
Kyber,2021-05-05T00:00:00+00:00,12431289.83044027809192
Curve,2021-04-29T00:00:00+00:00,123890167.35269973218072
Synthetix,2021-05-15T00:00:00+00:00,14427920.40031901795015561400
Kyber,2021-05-12T00:00:00+00:00,16718890.90571274874525
LINKSWAP,2021-05-14T00:00:00+00:00,103173.79448659153352
Uniswap,2021-05-10T00:00:00+00:00,3620750305.059883361309374025607
Tokenlon,2021-05-01T00:00:00+00:00,54415277.748823475179
Curve,2021-05-09T00:00:00+00:00,98144780.865040939267
Kyber,2021-05-20T00:00:00+00:00,15719325.1035105403870
Synthetix,2021-05-10T00:00:00+00:00,34431002.36272700177882260711
Tokenlon,2021-05-06T00:00:00+00:00,87869763.015491155642
Futureswap,2021-05-13T00:00:00+00:00,
Uniswap,2021-05-09T00:00:00+00:00,2410576974.464368816440189473286
Bancor Network,2021-05-17T00:00:00+00:00,179821402.25960214620761
Balancer,2021-04-25T00:00:00+00:00,70915428.127806148565668
Sushiswap,2021-05-03T00:00:00+00:00,566287308.271986816897477760366108
dodo,2021-04-27T00:00:00+00:00,75220122.0254582354412
Tokenlon,2021-04-30T00:00:00+00:00,29905861.554516000951
