day,collateral_liquidated_usd,number_of_liquidations
2021-05-24T00:00:00+00:00,52278.71791610228,46
2021-05-23T00:00:00+00:00,7033118.3294868525,121
2021-05-22T00:00:00+00:00,211528.50673758888,49
2021-05-21T00:00:00+00:00,615501.4553749117,33
2021-05-20T00:00:00+00:00,2471857.267789544,48
2021-05-19T00:00:00+00:00,28015416.433699705,114
2021-05-18T00:00:00+00:00,9630.661249494135,4
2021-05-17T00:00:00+00:00,150854.1135295567,5
2021-05-16T00:00:00+00:00,167823.16073234146,3
2021-05-15T00:00:00+00:00,1583.3424182356196,4
2021-05-13T00:00:00+00:00,213106.33475241854,3
2021-05-12T00:00:00+00:00,53.74213401760088,1
2021-05-08T00:00:00+00:00,168995.7827315962,3
2021-05-07T00:00:00+00:00,369.90105715390223,1
2021-05-06T00:00:00+00:00,10187.833087536219,1
2021-05-05T00:00:00+00:00,10636.352176519431,1
2021-05-04T00:00:00+00:00,40884.48791628929,2
2021-05-02T00:00:00+00:00,13170.82345928646,6
2021-05-01T00:00:00+00:00,3172.8459475182162,2
2021-04-30T00:00:00+00:00,248.20836106841494,2
2021-04-29T00:00:00+00:00,687.6957036096137,3
2021-04-27T00:00:00+00:00,8191.434186676555,1
2021-04-26T00:00:00+00:00,1273.5073361037726,1
2021-04-25T00:00:00+00:00,23185.646925128465,5
2021-04-24T00:00:00+00:00,11579.567767555425,6
2021-04-23T00:00:00+00:00,300503.3524902546,11
2021-04-22T00:00:00+00:00,18282.723317916876,4
2021-04-20T00:00:00+00:00,1568.948347974129,1
2021-04-18T00:00:00+00:00,2323137.2332853274,8
2021-04-16T00:00:00+00:00,30063.64966622049,2
2021-04-15T00:00:00+00:00,94406.22763114158,3
2021-04-14T00:00:00+00:00,96122.08440125936,2
2021-04-11T00:00:00+00:00,679.7971341972953,1
2021-04-10T00:00:00+00:00,27159.250942908995,1
2021-04-09T00:00:00+00:00,2032.1255668627746,1
2021-04-06T00:00:00+00:00,19838.458930619745,1
2021-04-04T00:00:00+00:00,50039.406071935024,3
2021-04-03T00:00:00+00:00,438.1552121490455,1
2021-03-31T00:00:00+00:00,2235.3453333108396,3
2021-03-29T00:00:00+00:00,2922.120516735268,1
2021-03-28T00:00:00+00:00,105.35889597475551,1
2021-03-27T00:00:00+00:00,4344.8940685718735,3
2021-03-26T00:00:00+00:00,1934774.0997022293,3
2021-03-24T00:00:00+00:00,650087.9263397832,14
2021-03-23T00:00:00+00:00,3850.748772734556,2
2021-03-22T00:00:00+00:00,19448.00183883156,2
2021-03-21T00:00:00+00:00,6956.6547976010625,2
2021-03-20T00:00:00+00:00,1309.4792242531025,2
2021-03-18T00:00:00+00:00,4445.592925115456,1
2021-03-17T00:00:00+00:00,12735.250419755605,2
2021-03-16T00:00:00+00:00,8117.826644872991,2
2021-03-15T00:00:00+00:00,13609.809224155082,1
2021-03-13T00:00:00+00:00,25330.883779843876,2
2021-03-12T00:00:00+00:00,10449.808288214008,1
2021-03-11T00:00:00+00:00,5243.477597702026,2
2021-03-10T00:00:00+00:00,4935.788848722911,1
2021-03-09T00:00:00+00:00,7646.436444987001,1
2021-03-08T00:00:00+00:00,21769.01058555938,3
2021-03-06T00:00:00+00:00,1145.2317992660633,2
2021-03-05T00:00:00+00:00,21663.90970008172,2
2021-03-04T00:00:00+00:00,28539.14333734328,4
2021-03-03T00:00:00+00:00,10481.273542852867,2
2021-03-01T00:00:00+00:00,3931.1296392092227,2
2021-02-28T00:00:00+00:00,6719559.494121777,30
2021-02-27T00:00:00+00:00,59519.9240852456,3
2021-02-26T00:00:00+00:00,28901.052702094363,6
2021-02-25T00:00:00+00:00,88826.18797160694,4
2021-02-24T00:00:00+00:00,4032.9192865469936,1
2021-02-23T00:00:00+00:00,4793305.273873993,60
2021-02-22T00:00:00+00:00,6497347.376727708,17
2021-02-20T00:00:00+00:00,3501477.5081003252,1
2021-02-19T00:00:00+00:00,114668.1807370203,2
2021-02-18T00:00:00+00:00,127168.04748836324,1
2021-02-17T00:00:00+00:00,17115.549566072194,2
2021-02-15T00:00:00+00:00,51047.24170873487,2
2021-02-13T00:00:00+00:00,159778.41907273297,2
2021-02-10T00:00:00+00:00,167764.76188760265,1
2021-02-09T00:00:00+00:00,94947.53108786242,2
