day,collateral_liquidated_usd,number_of_liquidations
2021-05-24T00:00:00+00:00,5084.326861604816,1
2021-05-23T00:00:00+00:00,78262038.70392063,1
2021-05-22T00:00:00+00:00,162837.20514663248,1
2021-05-21T00:00:00+00:00,3290221.6127300127,
2021-05-20T00:00:00+00:00,36489938.26588418,1
2021-05-19T00:00:00+00:00,53699079.95683402,5
2021-05-17T00:00:00+00:00,6006644.895412024,
2021-05-16T00:00:00+00:00,2655.384900313989,
2021-05-15T00:00:00+00:00,2614.3395400729955,
2021-05-13T00:00:00+00:00,340577.17470343795,
2021-05-12T00:00:00+00:00,1392817.4637433903,5
2021-05-07T00:00:00+00:00,247261294.18811384,3
2021-05-05T00:00:00+00:00,309.2928311617818,2
2021-05-04T00:00:00+00:00,593096.9941077366,8
2021-05-03T00:00:00+00:00,422560.7070575008,10
2021-05-02T00:00:00+00:00,17605.988948129747,4
2021-05-01T00:00:00+00:00,113195.92988492204,8
2021-04-29T00:00:00+00:00,1959058.471670607,1
2021-04-28T00:00:00+00:00,35459.12941483935,3
2021-04-27T00:00:00+00:00,9755.533450025507,2
2021-04-25T00:00:00+00:00,91055.72237665803,5
2021-04-24T00:00:00+00:00,18.311607630329817,5
2021-04-23T00:00:00+00:00,5328885.1807958055,1
2021-04-22T00:00:00+00:00,403.3810379099668,2
2021-04-20T00:00:00+00:00,404459.52613152534,1
2021-04-19T00:00:00+00:00,77.16421472142554,
2021-04-18T00:00:00+00:00,4103145.7454024698,1
2021-04-17T00:00:00+00:00,97.44589262729767,
2021-04-16T00:00:00+00:00,744.4732667054494,1
2021-04-15T00:00:00+00:00,30.07099820268738,3
2021-04-14T00:00:00+00:00,77182.53998438799,3
2021-04-13T00:00:00+00:00,80159.15740194092,2
2021-04-12T00:00:00+00:00,18637.4925053199,
2021-04-09T00:00:00+00:00,1586.7048152447628,
2021-04-05T00:00:00+00:00,52933.33029919299,1
2021-04-03T00:00:00+00:00,79.29162130321085,2
2021-03-30T00:00:00+00:00,4.759775437688607,
2021-03-29T00:00:00+00:00,0.000004802026706065199,1
2021-03-27T00:00:00+00:00,10178.878828208903,2
2021-03-24T00:00:00+00:00,174544.23063863858,
2021-03-23T00:00:00+00:00,97195.70118115393,
2021-03-22T00:00:00+00:00,2034.1360834749084,
2021-03-21T00:00:00+00:00,157.80406878186207,1
2021-03-20T00:00:00+00:00,202515.26699391275,
2021-03-17T00:00:00+00:00,3680.6623936815495,
2021-03-16T00:00:00+00:00,275005.72694209806,2
2021-03-14T00:00:00+00:00,23558.516258943982,1
2021-03-13T00:00:00+00:00,40606.311198049836,1
2021-03-11T00:00:00+00:00,40625.78327346895,
2021-03-10T00:00:00+00:00,142985.7598546308,2
2021-03-09T00:00:00+00:00,53507.857476250276,
2021-03-08T00:00:00+00:00,209364.30351340378,1
2021-03-05T00:00:00+00:00,35240.76328138818,
2021-03-04T00:00:00+00:00,91.72979229510179,
2021-03-03T00:00:00+00:00,325905.9735383193,
2021-03-02T00:00:00+00:00,628624.6793460557,1
2021-03-01T00:00:00+00:00,29678.304611274256,3
2021-02-28T00:00:00+00:00,126249.38991660804,4
2021-02-27T00:00:00+00:00,20.027656265683927,2
2021-02-26T00:00:00+00:00,101491.75093864802,1
2021-02-25T00:00:00+00:00,241.4168802770504,
2021-02-23T00:00:00+00:00,402290738.02190113,1
2021-02-22T00:00:00+00:00,18609175.45999584,
2021-02-19T00:00:00+00:00,335099.21206338576,
2021-02-15T00:00:00+00:00,373671.6978153368,
2021-02-12T00:00:00+00:00,5050088.4162172675,4
2021-02-11T00:00:00+00:00,724735.0184635407,1
2021-02-10T00:00:00+00:00,249414.72908463367,
2021-02-08T00:00:00+00:00,2903200.6795491413,
2021-02-07T00:00:00+00:00,105640.5842376097,
2021-02-04T00:00:00+00:00,104517.53963622214,1
2021-02-01T00:00:00+00:00,3788.336413078064,
2021-01-31T00:00:00+00:00,36133.21666744767,
2021-01-29T00:00:00+00:00,15551.993159345227,10
2021-01-27T00:00:00+00:00,45.17905782274607,1
2021-01-26T00:00:00+00:00,45.31144132816825,1
2021-01-24T00:00:00+00:00,4064.4263568007036,
2021-01-23T00:00:00+00:00,5.957964278033121,
2021-01-22T00:00:00+00:00,75452.67493762066,2
2021-01-21T00:00:00+00:00,7298.320719733614,
2021-01-20T00:00:00+00:00,125787.21133309697,
2021-01-18T00:00:00+00:00,52993877.26832114,9
2021-01-16T00:00:00+00:00,5876.802453351307,1
2021-01-15T00:00:00+00:00,8140.511265028722,
2021-01-13T00:00:00+00:00,0.272642110474357,2
2021-01-12T00:00:00+00:00,356.65292252384074,4
2021-01-11T00:00:00+00:00,4835505.369169229,
2021-01-10T00:00:00+00:00,36387.52608431282,10
2021-01-09T00:00:00+00:00,64580.68037679915,2
2021-01-08T00:00:00+00:00,2111.47900754294,1
2021-01-07T00:00:00+00:00,206867.36563709864,5
2021-01-06T00:00:00+00:00,34825.74684447633,4
2021-01-05T00:00:00+00:00,1216.4654669476072,4
2021-01-04T00:00:00+00:00,1471.9515706140298,10
2021-01-03T00:00:00+00:00,391249.7107496818,20
2021-01-02T00:00:00+00:00,79951.63848447181,2
2021-01-01T00:00:00+00:00,0.042717243530532543,1
2020-12-30T00:00:00+00:00,25271.111592680038,
2020-12-29T00:00:00+00:00,686.7699857212831,3
2020-12-28T00:00:00+00:00,15.438585598195669,4
