day,project,outstanding_usd_value
2021-01-26T00:00:00+00:00,MakerDAO,4506541204.49863
2021-04-10T00:00:00+00:00,MakerDAO,7751584702.583747
2021-05-11T00:00:00+00:00,Aave,16269404973.580725
2021-01-17T00:00:00+00:00,Compound,5027833939.1451845
2021-04-29T00:00:00+00:00,MakerDAO,9333529789.63654
2021-01-05T00:00:00+00:00,MakerDAO,3753581120.9113507
2021-02-25T00:00:00+00:00,MakerDAO,6044745152.020239
2020-12-15T00:00:00+00:00,Aave,1916129745.7953818
2021-01-19T00:00:00+00:00,Compound,5298454852.791938
2021-04-01T00:00:00+00:00,Compound,11069748019.750307
2021-02-07T00:00:00+00:00,Aave,6025861405.770929
2021-02-27T00:00:00+00:00,MakerDAO,5687509186.332323
2020-12-02T00:00:00+00:00,MakerDAO,2334837842.462622
2021-04-06T00:00:00+00:00,MakerDAO,7703566900.379748
2020-12-11T00:00:00+00:00,Compound,3271042251.792854
2021-02-26T00:00:00+00:00,MakerDAO,5685493046.809201
2020-11-28T00:00:00+00:00,Compound,3057120474.6001425
2020-12-28T00:00:00+00:00,Aave,2157535952.292245
2020-12-12T00:00:00+00:00,Compound,3369634527.3814597
2021-02-01T00:00:00+00:00,MakerDAO,4593469283.246003
2020-12-24T00:00:00+00:00,Compound,3624561578.893386
2021-03-02T00:00:00+00:00,MakerDAO,6020326642.303094
2021-02-10T00:00:00+00:00,Aave,6768698818.211579
2021-05-22T00:00:00+00:00,MakerDAO,7200024246.56945
2021-05-19T00:00:00+00:00,MakerDAO,8721679135.297825
2021-04-07T00:00:00+00:00,MakerDAO,7344052473.44527
2020-11-30T00:00:00+00:00,MakerDAO,2352623508.166018
2021-05-20T00:00:00+00:00,Aave,13603078490.935019
2021-05-12T00:00:00+00:00,Aave,16882993599.30145
2021-04-03T00:00:00+00:00,Compound,12931560126.666727
2020-12-06T00:00:00+00:00,Aave,1900812970.9855196
2020-11-25T00:00:00+00:00,MakerDAO,2356447375.5260177
2021-03-18T00:00:00+00:00,Aave,7043153702.492398
2021-05-06T00:00:00+00:00,MakerDAO,11495426552.973303
2021-02-13T00:00:00+00:00,Aave,6857700018.973394
2020-12-02T00:00:00+00:00,Aave,1993888319.458284
2020-12-01T00:00:00+00:00,MakerDAO,2368222455.4403605
2021-04-29T00:00:00+00:00,Compound,13392184310.75711
2020-11-27T00:00:00+00:00,Compound,3023130190.906252
2020-12-23T00:00:00+00:00,Compound,3708853275.620721
2021-04-28T00:00:00+00:00,MakerDAO,9030278380.658901
2021-01-14T00:00:00+00:00,MakerDAO,4060090183.4405518
2021-01-07T00:00:00+00:00,Compound,4253407248.056396
2021-01-06T00:00:00+00:00,Aave,3056284856.7149477
2021-04-16T00:00:00+00:00,Aave,8798382380.55422
2021-02-16T00:00:00+00:00,MakerDAO,5944517693.521148
2021-01-29T00:00:00+00:00,Compound,5363756223.751068
2021-03-03T00:00:00+00:00,Aave,6520812564.33268
2021-03-31T00:00:00+00:00,Aave,7702487796.9084215
2021-03-15T00:00:00+00:00,MakerDAO,6752096512.922297
2021-01-23T00:00:00+00:00,Aave,3879347127.97397
