time,supplied
2021-05-25 14:30:00,$33.5M
2021-05-25 15:00:00,$33.5M
2021-05-25 15:30:00,$33.5M
2021-05-25 16:00:00,$33.5M
2021-05-25 16:30:00,$33.5M
2021-05-25 17:00:00,$33.5M
2021-05-25 17:30:00,$33.5M
2021-05-25 18:00:00,$33.5M
2021-05-25 18:30:00,$33.5M
2021-05-25 19:00:00,$33.5M
2021-05-25 19:30:00,$33.5M
2021-05-25 20:00:00,$33.5M
2021-05-25 20:30:00,$33.5M
2021-05-25 21:00:00,$33.5M
2021-05-25 21:30:00,$33.5M
2021-05-25 22:00:00,$33.5M
2021-05-25 22:30:00,$33.5M
2021-05-25 23:00:00,$33.5M
2021-05-25 23:30:00,$33.5M
2021-05-26 00:00:00,$33.5M
2021-05-26 00:30:00,$33.5M
2021-05-26 01:00:00,$33.5M
2021-05-26 01:30:00,$33.5M
2021-05-26 02:00:00,$33.5M
2021-05-26 02:30:00,$33.5M
2021-05-26 03:00:00,$33.5M
2021-05-26 03:30:00,$33.5M
2021-05-26 04:00:00,$33.5M
2021-05-26 04:30:00,$33.5M
2021-05-26 05:00:00,$33.5M
2021-05-26 05:30:00,$33.5M
2021-05-26 06:00:00,$33.5M
2021-05-26 06:30:00,$33.5M
2021-05-26 07:00:00,$33.5M
2021-05-26 07:30:00,$33.5M
2021-05-26 08:00:00,$33.5M
2021-05-26 08:30:00,$33.5M
2021-05-26 09:00:00,$33.5M
2021-05-26 09:30:00,$33.5M
2021-05-26 10:00:00,$33.5M
2021-05-26 10:30:00,$33.5M
2021-05-26 11:00:00,$33.5M
2021-05-26 11:30:00,$33.5M
2021-05-26 12:00:00,$33.5M
2021-05-26 12:30:00,$33.5M
2021-05-26 13:00:00,$33.5M
2021-05-26 13:30:00,$33.5M
2021-05-26 14:00:00,$33.5M
2021-05-26 14:30:00,$33.5M
2021-05-26 15:00:00,$33.5M
2021-05-26 15:30:00,$33.5M
2021-05-26 16:00:00,$33.5M
2021-05-26 16:30:00,$33.5M
2021-05-26 17:00:00,$33.5M
2021-05-26 17:30:00,$33.5M
2021-05-26 18:00:00,$33.5M
2021-05-26 18:30:00,$33.5M
2021-05-26 19:00:00,$33.5M
2021-05-26 19:30:00,$33.5M
2021-05-26 20:00:00,$33.5M
2021-05-26 20:30:00,$33.5M
2021-05-26 21:00:00,$33.5M
2021-05-26 21:30:00,$33.5M
2021-05-26 22:00:00,$33.5M
2021-05-26 22:30:00,$33.5M
2021-05-26 23:00:00,$33.5M
2021-05-26 23:30:00,$33.5M
2021-05-27 00:00:00,$33.5M
2021-05-27 00:30:00,$33.5M
2021-05-27 01:00:00,$33.5M
2021-05-27 01:30:00,$33.5M
2021-05-27 02:00:00,$33.5M
2021-05-27 02:30:00,$33.5M
2021-05-27 03:00:00,$33.5M
2021-05-27 03:30:00,$33.5M
2021-05-27 04:00:00,$33.5M
2021-05-27 04:30:00,$40.6M
2021-05-27 05:00:00,$40.5M
2021-05-27 05:30:00,$40.3M
2021-05-27 06:00:00,$40.1M
2021-05-27 06:30:00,$40.7M
2021-05-27 07:00:00,$40.6M
2021-05-27 07:30:00,$40.4M
2021-05-27 08:00:00,$40.0M
2021-05-27 08:30:00,$40.5M
2021-05-27 09:00:00,$40.4M
2021-05-27 09:30:00,$40.7M
2021-05-27 10:00:00,$40.4M
2021-05-27 10:30:00,$39.9M
2021-05-27 11:00:00,$40.1M
2021-05-27 11:30:00,$39.9M
2021-05-27 12:00:00,$39.8M
2021-05-27 12:30:00,$40.0M
2021-05-27 13:00:00,$40.0M
2021-05-27 13:30:00,$39.8M
2021-05-27 14:00:00,$39.9M
2021-05-27 14:30:00,$39.6M
2021-05-27 15:00:00,$39.4M
2021-05-27 15:30:00,$39.3M
2021-05-27 16:00:00,$39.1M
2021-05-27 16:30:00,$39.2M
2021-05-27 17:00:00,$39.8M
2021-05-27 17:30:00,$39.6M
2021-05-27 18:00:00,$39.3M
2021-05-27 18:30:00,$39.0M
2021-05-27 19:00:00,$39.2M
2021-05-27 19:30:00,$39.8M
2021-05-27 20:00:00,$38.7M
2021-05-27 20:30:00,$38.7M
2021-05-27 21:00:00,$38.8M
2021-05-27 21:30:00,$38.9M
2021-05-27 22:00:00,$39.4M
2021-05-27 22:30:00,$39.2M
2021-05-27 23:00:00,$39.4M
2021-05-27 23:30:00,$38.9M
2021-05-28 00:00:00,$38.7M
2021-05-28 00:30:00,$38.7M
2021-05-28 01:00:00,$38.0M
2021-05-28 01:30:00,$37.5M
2021-05-28 02:00:00,$37.3M
2021-05-28 02:30:00,$37.5M
2021-05-28 03:00:00,$37.3M
2021-05-28 03:30:00,$37.6M
2021-05-28 04:00:00,$37.1M
2021-05-28 04:30:00,$35.9M
2021-05-28 05:00:00,$36.9M
2021-05-28 05:30:00,$36.8M
2021-05-28 06:00:00,$36.7M
2021-05-28 06:30:00,$36.8M
2021-05-28 07:00:00,$35.5M
2021-05-28 07:30:00,$37.3M
2021-05-28 08:00:00,$37.1M
2021-05-28 08:30:00,$37.4M
2021-05-28 09:00:00,$37.8M
2021-05-28 09:30:00,$37.3M
2021-05-28 10:00:00,$37.3M
2021-05-28 10:30:00,$37.3M
2021-05-28 11:00:00,$37.2M
2021-05-28 11:30:00,$36.5M
2021-05-28 12:00:00,$36.6M
2021-05-28 12:30:00,$36.3M
2021-05-28 13:00:00,$36.0M
2021-05-28 13:30:00,$36.0M
2021-05-28 14:00:00,$36.5M
2021-05-28 14:30:00,$36.3M
2021-05-28 15:00:00,$36.4M
2021-05-28 15:30:00,$36.6M
2021-05-28 16:00:00,$35.8M
2021-05-28 16:30:00,$35.0M
2021-05-28 17:00:00,$34.9M
2021-05-28 17:30:00,$34.8M
2021-05-28 18:00:00,$35.2M
2021-05-28 18:30:00,$35.5M
2021-05-28 19:00:00,$35.4M
2021-05-28 19:30:00,$36.1M
2021-05-28 20:00:00,$36.0M
2021-05-28 20:30:00,$36.4M
2021-05-28 21:00:00,$36.2M
2021-05-28 21:30:00,$36.4M
2021-05-28 22:00:00,$36.1M
2021-05-28 22:30:00,$36.7M
2021-05-28 23:00:00,$36.4M
2021-05-28 23:30:00,$36.4M
2021-05-29 00:00:00,$36.3M
2021-05-29 00:30:00,$36.7M
2021-05-29 01:00:00,$36.6M
2021-05-29 01:30:00,$36.9M
2021-05-29 02:00:00,$36.8M
2021-05-29 02:30:00,$36.5M
2021-05-29 03:00:00,$36.4M
2021-05-29 03:30:00,$36.2M
2021-05-29 04:00:00,$35.7M
2021-05-29 04:30:00,$35.6M
2021-05-29 05:00:00,$35.9M
2021-05-29 05:30:00,$35.4M
2021-05-29 06:00:00,$35.7M
2021-05-29 06:30:00,$35.5M
2021-05-29 07:00:00,$35.7M
2021-05-29 07:30:00,$35.3M
2021-05-29 08:00:00,$35.1M
2021-05-29 08:30:00,$34.8M
2021-05-29 09:00:00,$35.0M
2021-05-29 09:30:00,$35.0M
2021-05-29 10:00:00,$34.7M
2021-05-29 10:30:00,$33.8M
2021-05-29 11:00:00,$34.7M
2021-05-29 11:30:00,$34.3M
2021-05-29 12:00:00,$34.9M
2021-05-29 12:30:00,$34.2M
2021-05-29 13:00:00,$33.7M
2021-05-29 13:30:00,$33.6M
2021-05-29 14:00:00,$33.8M
2021-05-29 14:30:00,$33.6M
2021-05-29 15:00:00,$33.8M
2021-05-29 15:30:00,$33.6M
2021-05-29 16:00:00,$33.6M
2021-05-29 16:30:00,$33.8M
2021-05-29 17:00:00,$34.1M
2021-05-29 17:30:00,$34.1M
2021-05-29 18:00:00,$34.0M
2021-05-29 18:30:00,$34.3M
2021-05-29 19:00:00,$34.2M
2021-05-29 19:30:00,$33.5M
2021-05-29 20:00:00,$33.3M
2021-05-29 20:30:00,$33.4M
2021-05-29 21:00:00,$33.6M
2021-05-29 21:30:00,$34.2M
2021-05-29 22:00:00,$34.0M
2021-05-29 22:30:00,$34.3M
2021-05-29 23:00:00,$34.7M
2021-05-29 23:30:00,$34.3M
2021-05-30 00:00:00,$34.4M
2021-05-30 00:30:00,$34.8M
2021-05-30 01:00:00,$35.3M
2021-05-30 01:30:00,$35.8M
2021-05-30 02:00:00,$35.8M
2021-05-30 02:30:00,$35.8M
2021-05-30 03:00:00,$36.2M
2021-05-30 03:30:00,$35.7M
2021-05-30 04:00:00,$35.7M
2021-05-30 04:30:00,$35.7M
2021-05-30 05:00:00,$35.7M
2021-05-30 05:30:00,$35.5M
2021-05-30 06:00:00,$35.9M
2021-05-30 06:30:00,$36.2M
2021-05-30 07:00:00,$36.5M
2021-05-30 07:30:00,$36.1M
2021-05-30 08:00:00,$35.8M
2021-05-30 08:30:00,$36.0M
2021-05-30 09:00:00,$35.9M
2021-05-30 09:30:00,$35.5M
2021-05-30 10:00:00,$35.4M
2021-05-30 10:30:00,$35.4M
2021-05-30 11:00:00,$35.4M
2021-05-30 11:30:00,$36.2M
2021-05-30 12:00:00,$35.7M
2021-05-30 12:30:00,$36.1M
2021-05-30 13:00:00,$36.2M
2021-05-30 13:30:00,$36.4M
