date,total_users
2018-09-26T00:00:00+00:00,12
2018-09-27T00:00:00+00:00,70
2018-09-28T00:00:00+00:00,158
2018-09-29T00:00:00+00:00,198
2018-09-30T00:00:00+00:00,227
2018-10-01T00:00:00+00:00,245
2018-10-02T00:00:00+00:00,258
2018-10-03T00:00:00+00:00,275
2018-10-04T00:00:00+00:00,287
2018-10-05T00:00:00+00:00,294
2018-10-06T00:00:00+00:00,301
2018-10-07T00:00:00+00:00,311
2018-10-08T00:00:00+00:00,326
2018-10-09T00:00:00+00:00,335
2018-10-10T00:00:00+00:00,346
2018-10-11T00:00:00+00:00,354
2018-10-12T00:00:00+00:00,360
2018-10-13T00:00:00+00:00,370
2018-10-14T00:00:00+00:00,375
2018-10-15T00:00:00+00:00,384
2018-10-16T00:00:00+00:00,394
2018-10-17T00:00:00+00:00,419
2018-10-18T00:00:00+00:00,436
2018-10-19T00:00:00+00:00,446
2018-10-20T00:00:00+00:00,454
2018-10-21T00:00:00+00:00,461
2018-10-22T00:00:00+00:00,468
2018-10-23T00:00:00+00:00,477
2018-10-24T00:00:00+00:00,484
2018-10-25T00:00:00+00:00,493
2018-10-26T00:00:00+00:00,524
2018-10-27T00:00:00+00:00,537
2018-10-28T00:00:00+00:00,552
2018-10-29T00:00:00+00:00,558
2018-10-30T00:00:00+00:00,563
2018-10-31T00:00:00+00:00,569
2018-11-01T00:00:00+00:00,572
2018-11-02T00:00:00+00:00,577
2018-11-03T00:00:00+00:00,582
2018-11-04T00:00:00+00:00,586
2018-11-05T00:00:00+00:00,593
2018-11-06T00:00:00+00:00,614
2018-11-07T00:00:00+00:00,727
2018-11-08T00:00:00+00:00,733
2018-11-09T00:00:00+00:00,737
2018-11-10T00:00:00+00:00,744
2018-11-11T00:00:00+00:00,749
2018-11-12T00:00:00+00:00,755
2018-11-13T00:00:00+00:00,760
2018-11-14T00:00:00+00:00,765
2018-11-15T00:00:00+00:00,769
2018-11-16T00:00:00+00:00,772
2018-11-17T00:00:00+00:00,774
2018-11-18T00:00:00+00:00,776
2018-11-20T00:00:00+00:00,791
2018-11-21T00:00:00+00:00,822
2018-11-22T00:00:00+00:00,837
2018-11-23T00:00:00+00:00,850
2018-11-24T00:00:00+00:00,865
2018-11-25T00:00:00+00:00,883
2018-11-26T00:00:00+00:00,893
2018-11-27T00:00:00+00:00,913
2018-11-28T00:00:00+00:00,930
2018-11-29T00:00:00+00:00,943
2018-11-30T00:00:00+00:00,951
2018-12-01T00:00:00+00:00,984
2018-12-02T00:00:00+00:00,1024
2018-12-03T00:00:00+00:00,1077
2018-12-04T00:00:00+00:00,1140
2018-12-05T00:00:00+00:00,1195
2018-12-06T00:00:00+00:00,1252
