count,month,status
9713,2020-09-01T00:00:00,new
-7905,2020-10-01T00:00:00,churned
3859,2020-10-01T00:00:00,new
1808,2020-10-01T00:00:00,retained
-3691,2020-11-01T00:00:00,churned
4820,2020-11-01T00:00:00,new
1976,2020-11-01T00:00:00,retained
656,2020-11-01T00:00:00,returned
-4658,2020-12-01T00:00:00,churned
8067,2020-12-01T00:00:00,new
2794,2020-12-01T00:00:00,retained
1265,2020-12-01T00:00:00,returned
-6266,2021-01-01T00:00:00,churned
17356,2021-01-01T00:00:00,new
5860,2021-01-01T00:00:00,retained
1704,2021-01-01T00:00:00,returned
-17111,2021-02-01T00:00:00,churned
15697,2021-02-01T00:00:00,new
7809,2021-02-01T00:00:00,retained
1414,2021-02-01T00:00:00,returned
-16492,2021-03-01T00:00:00,churned
16375,2021-03-01T00:00:00,new
8428,2021-03-01T00:00:00,retained
2962,2021-03-01T00:00:00,returned
-17663,2021-04-01T00:00:00,churned
17387,2021-04-01T00:00:00,new
10102,2021-04-01T00:00:00,retained
3526,2021-04-01T00:00:00,returned
-27337,2021-05-01T00:00:00,churned
2649,2021-05-01T00:00:00,new
3678,2021-05-01T00:00:00,retained
824,2021-05-01T00:00:00,returned
