date,total_users
2018-11-02T00:00:00+00:00,20
2018-11-03T00:00:00+00:00,26
2018-11-04T00:00:00+00:00,30
2018-11-05T00:00:00+00:00,39
2018-11-06T00:00:00+00:00,51
2018-11-07T00:00:00+00:00,70
2018-11-08T00:00:00+00:00,89
2018-11-09T00:00:00+00:00,94
2018-11-10T00:00:00+00:00,108
2018-11-11T00:00:00+00:00,121
2018-11-12T00:00:00+00:00,124
2018-11-13T00:00:00+00:00,135
2018-11-14T00:00:00+00:00,141
2018-11-15T00:00:00+00:00,148
2018-11-16T00:00:00+00:00,155
2018-11-17T00:00:00+00:00,158
2018-11-18T00:00:00+00:00,161
2018-11-19T00:00:00+00:00,168
2018-11-20T00:00:00+00:00,179
2018-11-21T00:00:00+00:00,185
2018-11-22T00:00:00+00:00,192
2018-11-23T00:00:00+00:00,195
2018-11-24T00:00:00+00:00,197
2018-11-25T00:00:00+00:00,200
2018-11-26T00:00:00+00:00,204
2018-11-27T00:00:00+00:00,207
2018-11-28T00:00:00+00:00,214
2018-11-29T00:00:00+00:00,218
2018-11-30T00:00:00+00:00,223
2018-12-01T00:00:00+00:00,227
2018-12-02T00:00:00+00:00,228
2018-12-03T00:00:00+00:00,233
2018-12-04T00:00:00+00:00,240
2018-12-05T00:00:00+00:00,256
2018-12-06T00:00:00+00:00,262
2018-12-07T00:00:00+00:00,275
2018-12-08T00:00:00+00:00,287
2018-12-09T00:00:00+00:00,302
2018-12-10T00:00:00+00:00,312
2018-12-11T00:00:00+00:00,330
2018-12-12T00:00:00+00:00,337
2018-12-13T00:00:00+00:00,345
2018-12-14T00:00:00+00:00,366
2018-12-15T00:00:00+00:00,386
2018-12-16T00:00:00+00:00,397
2018-12-17T00:00:00+00:00,401
2018-12-18T00:00:00+00:00,413
2018-12-19T00:00:00+00:00,426
2018-12-20T00:00:00+00:00,439
2018-12-21T00:00:00+00:00,451
2018-12-22T00:00:00+00:00,468
2018-12-23T00:00:00+00:00,473
2018-12-24T00:00:00+00:00,486
2018-12-25T00:00:00+00:00,490
2018-12-26T00:00:00+00:00,492
2018-12-27T00:00:00+00:00,496
2018-12-28T00:00:00+00:00,506
2018-12-29T00:00:00+00:00,521
2018-12-30T00:00:00+00:00,525
2018-12-31T00:00:00+00:00,533
2019-01-01T00:00:00+00:00,539
2019-01-02T00:00:00+00:00,547
2019-01-03T00:00:00+00:00,560
2019-01-04T00:00:00+00:00,579
2019-01-05T00:00:00+00:00,592
2019-01-06T00:00:00+00:00,607
2019-01-07T00:00:00+00:00,622
2019-01-08T00:00:00+00:00,632
2019-01-09T00:00:00+00:00,638
2019-01-10T00:00:00+00:00,642
2019-01-11T00:00:00+00:00,651
2019-01-12T00:00:00+00:00,659
2019-01-13T00:00:00+00:00,676
2019-01-14T00:00:00+00:00,684
2019-01-15T00:00:00+00:00,694
2019-01-16T00:00:00+00:00,701
2019-01-17T00:00:00+00:00,719
2019-01-18T00:00:00+00:00,730
2019-01-19T00:00:00+00:00,742
2019-01-20T00:00:00+00:00,767
2019-01-21T00:00:00+00:00,822
2019-01-22T00:00:00+00:00,873
2019-01-23T00:00:00+00:00,930
2019-01-24T00:00:00+00:00,952
2019-01-25T00:00:00+00:00,966
2019-01-26T00:00:00+00:00,977
2019-01-27T00:00:00+00:00,991
2019-01-28T00:00:00+00:00,1004
2019-01-29T00:00:00+00:00,1011
2019-01-30T00:00:00+00:00,1031
2019-01-31T00:00:00+00:00,1053
2019-02-01T00:00:00+00:00,1064
2019-02-02T00:00:00+00:00,1072
2019-02-03T00:00:00+00:00,1090
2019-02-04T00:00:00+00:00,1104
2019-02-05T00:00:00+00:00,1123
2019-02-06T00:00:00+00:00,1143
2019-02-07T00:00:00+00:00,1158
2019-02-08T00:00:00+00:00,1199
