hour,troves
2021-04-05T08:00:00+00:00,1
2021-04-05T09:00:00+00:00,2
2021-04-05T11:00:00+00:00,2
2021-04-05T13:00:00+00:00,3
2021-04-05T14:00:00+00:00,96
2021-04-05T15:00:00+00:00,163
2021-04-05T16:00:00+00:00,210
2021-04-05T17:00:00+00:00,283
2021-04-05T18:00:00+00:00,340
2021-04-05T19:00:00+00:00,367
2021-04-05T20:00:00+00:00,395
2021-04-05T21:00:00+00:00,413
2021-04-05T22:00:00+00:00,437
2021-04-05T23:00:00+00:00,453
2021-04-06T00:00:00+00:00,462
2021-04-06T01:00:00+00:00,479
2021-04-06T02:00:00+00:00,492
2021-04-06T03:00:00+00:00,510
2021-04-06T04:00:00+00:00,520
2021-04-06T05:00:00+00:00,539
2021-04-06T06:00:00+00:00,553
2021-04-06T07:00:00+00:00,559
2021-04-06T08:00:00+00:00,572
2021-04-06T09:00:00+00:00,581
2021-04-06T10:00:00+00:00,595
2021-04-06T11:00:00+00:00,597
2021-04-06T12:00:00+00:00,605
2021-04-06T13:00:00+00:00,605
2021-04-06T14:00:00+00:00,609
2021-04-06T15:00:00+00:00,617
2021-04-06T16:00:00+00:00,619
2021-04-06T17:00:00+00:00,619
2021-04-06T18:00:00+00:00,622
2021-04-06T19:00:00+00:00,621
2021-04-06T20:00:00+00:00,622
2021-04-06T21:00:00+00:00,627
2021-04-06T23:00:00+00:00,630
2021-04-07T00:00:00+00:00,632
2021-04-07T01:00:00+00:00,633
2021-04-07T02:00:00+00:00,634
2021-04-07T03:00:00+00:00,637
2021-04-07T04:00:00+00:00,641
2021-04-07T05:00:00+00:00,646
2021-04-07T06:00:00+00:00,652
2021-04-07T07:00:00+00:00,652
2021-04-07T08:00:00+00:00,654
2021-04-07T09:00:00+00:00,659
2021-04-07T10:00:00+00:00,660
2021-04-07T11:00:00+00:00,655
2021-04-07T12:00:00+00:00,658
2021-04-07T13:00:00+00:00,660
2021-04-07T14:00:00+00:00,662
2021-04-07T15:00:00+00:00,662
2021-04-07T16:00:00+00:00,661
2021-04-07T17:00:00+00:00,660
2021-04-07T18:00:00+00:00,660
2021-04-07T19:00:00+00:00,655
2021-04-07T20:00:00+00:00,652
2021-04-07T21:00:00+00:00,649
2021-04-07T22:00:00+00:00,651
2021-04-07T23:00:00+00:00,653
2021-04-08T00:00:00+00:00,654
2021-04-08T01:00:00+00:00,656
2021-04-08T03:00:00+00:00,659
2021-04-08T04:00:00+00:00,660
2021-04-08T05:00:00+00:00,662
2021-04-08T06:00:00+00:00,665
2021-04-08T07:00:00+00:00,669
2021-04-08T08:00:00+00:00,668
2021-04-08T09:00:00+00:00,669
2021-04-08T10:00:00+00:00,669
2021-04-08T11:00:00+00:00,670
2021-04-08T12:00:00+00:00,671
2021-04-08T13:00:00+00:00,674
2021-04-08T14:00:00+00:00,675
2021-04-08T15:00:00+00:00,676
2021-04-08T16:00:00+00:00,677
2021-04-08T17:00:00+00:00,676
2021-04-08T18:00:00+00:00,677
2021-04-08T19:00:00+00:00,672
2021-04-08T20:00:00+00:00,672
2021-04-08T21:00:00+00:00,673
2021-04-08T22:00:00+00:00,672
2021-04-08T23:00:00+00:00,674
2021-04-09T00:00:00+00:00,672
2021-04-09T01:00:00+00:00,671
2021-04-09T02:00:00+00:00,677
2021-04-09T03:00:00+00:00,678
2021-04-09T04:00:00+00:00,677
2021-04-09T05:00:00+00:00,679
2021-04-09T06:00:00+00:00,680
2021-04-09T07:00:00+00:00,682
2021-04-09T08:00:00+00:00,682
2021-04-09T09:00:00+00:00,683
2021-04-09T11:00:00+00:00,683
2021-04-09T12:00:00+00:00,684
2021-04-09T13:00:00+00:00,686
2021-04-09T14:00:00+00:00,685
2021-04-09T16:00:00+00:00,684
2021-04-09T17:00:00+00:00,683
2021-04-09T18:00:00+00:00,686
2021-04-09T19:00:00+00:00,685
2021-04-09T20:00:00+00:00,686
2021-04-09T21:00:00+00:00,687
2021-04-09T22:00:00+00:00,684
2021-04-09T23:00:00+00:00,685
2021-04-10T01:00:00+00:00,684
2021-04-10T02:00:00+00:00,683
2021-04-10T03:00:00+00:00,684
2021-04-10T04:00:00+00:00,683
2021-04-10T07:00:00+00:00,683
2021-04-10T08:00:00+00:00,684
2021-04-10T09:00:00+00:00,685
2021-04-10T10:00:00+00:00,683
2021-04-10T12:00:00+00:00,685
2021-04-10T13:00:00+00:00,686
2021-04-10T14:00:00+00:00,686
2021-04-10T15:00:00+00:00,688
2021-04-10T16:00:00+00:00,685
2021-04-10T17:00:00+00:00,687
2021-04-10T18:00:00+00:00,688
2021-04-10T19:00:00+00:00,689
2021-04-10T20:00:00+00:00,688
2021-04-10T21:00:00+00:00,687
2021-04-10T22:00:00+00:00,688
2021-04-10T23:00:00+00:00,690
2021-04-11T00:00:00+00:00,691
2021-04-11T01:00:00+00:00,690
2021-04-11T03:00:00+00:00,691
2021-04-11T04:00:00+00:00,692
2021-04-11T05:00:00+00:00,691
2021-04-11T06:00:00+00:00,690
2021-04-11T07:00:00+00:00,691
2021-04-11T08:00:00+00:00,696
2021-04-11T09:00:00+00:00,697
2021-04-11T11:00:00+00:00,697
2021-04-11T12:00:00+00:00,698
2021-04-11T13:00:00+00:00,699
2021-04-11T14:00:00+00:00,702
2021-04-11T15:00:00+00:00,705
2021-04-11T16:00:00+00:00,707
2021-04-11T17:00:00+00:00,708
2021-04-11T18:00:00+00:00,710
2021-04-11T19:00:00+00:00,710
2021-04-11T20:00:00+00:00,709
2021-04-11T21:00:00+00:00,707
