evt_block_time,rebase,apy
2021-05-04T16:21:15+00:00," 0.66%"," 135,003%"
2021-05-04T07:04:48+00:00," 0.67%"," 143,870%"
2021-05-03T23:09:24+00:00," 0.66%"," 140,808%"
2021-05-03T14:53:52+00:00," 0.67%"," 147,648%"
2021-05-03T06:55:04+00:00," 0.67%"," 158,123%"
2021-05-02T23:47:24+00:00," 0.67%"," 156,973%"
2021-05-02T14:14:47+00:00," 0.67%"," 143,995%"
2021-05-02T06:03:28+00:00," 0.67%"," 147,699%"
2021-05-02T02:26:02+00:00," 0.68%"," 162,557%"
2021-05-01T21:21:52+00:00," 0.65%"," 120,111%"
2021-05-01T08:35:32+00:00," 0.66%"," 132,701%"
2021-04-30T22:33:51+00:00," 0.66%"," 141,697%"
2021-04-30T13:46:48+00:00," 0.67%"," 149,229%"
2021-04-30T05:00:04+00:00," 0.67%"," 149,142%"
2021-04-29T21:52:15+00:00," 0.67%"," 153,568%"
2021-04-29T13:53:17+00:00," 0.66%"," 132,660%"
2021-04-29T04:35:54+00:00," 0.65%"," 120,162%"
2021-04-28T21:30:57+00:00," 0.65%"," 121,491%"
2021-04-28T12:44:02+00:00," 0.65%"," 119,890%"
2021-04-28T04:10:07+00:00," 0.65%"," 123,162%"
2021-04-27T19:55:18+00:00," 0.66%"," 131,579%"
2021-04-27T12:13:42+00:00," 0.66%"," 138,676%"
2021-04-27T03:51:11+00:00," 0.67%"," 147,246%"
2021-04-26T22:06:55+00:00," 0.66%"," 127,515%"
2021-04-26T11:43:31+00:00," 0.66%"," 127,371%"
2021-04-26T03:12:26+00:00," 0.62%","  87,642%"
2021-04-25T19:01:33+00:00," 0.61%","  76,019%"
2021-04-25T10:55:33+00:00," 0.80%"," 617,189%"
2021-04-25T02:54:54+00:00," 0.76%"," 408,139%"
2021-04-24T18:41:47+00:00," 0.70%"," 211,070%"
2021-04-24T10:51:49+00:00," 0.82%"," 736,643%"
2021-04-24T02:29:22+00:00," 0.70%"," 200,994%"
2021-04-23T18:37:50+00:00," 0.75%"," 360,644%"
2021-04-23T14:18:45+00:00," 0.73%"," 273,931%"
2021-04-23T02:01:21+00:00," 0.72%"," 245,496%"
2021-04-22T19:09:56+00:00," 0.72%"," 250,411%"
2021-04-22T09:49:11+00:00," 0.72%"," 257,454%"
2021-04-22T01:47:02+00:00," 0.79%"," 571,242%"
2021-04-21T18:11:10+00:00," 0.76%"," 398,476%"
2021-04-21T09:09:02+00:00," 0.75%"," 376,388%"
2021-04-21T00:51:24+00:00," 0.69%"," 185,465%"
2021-04-20T17:18:07+00:00," 0.69%"," 178,219%"
2021-04-20T11:41:17+00:00," 0.69%"," 178,472%"
2021-04-20T03:26:51+00:00," 0.69%"," 179,384%"
2021-04-19T22:15:01+00:00," 0.69%"," 181,683%"
2021-04-19T14:55:15+00:00," 0.69%"," 181,900%"
2021-04-19T09:49:41+00:00," 0.69%"," 196,253%"
2021-04-18T15:55:12+00:00," 0.69%"," 194,505%"
2021-04-18T09:37:44+00:00," 0.70%"," 218,364%"
2021-04-17T23:50:51+00:00," 0.70%"," 214,218%"
2021-04-17T20:26:47+00:00," 0.70%"," 203,764%"
2021-04-17T20:24:25+00:00," 0.70%"," 214,939%"
2021-04-17T13:49:42+00:00," 0.71%"," 240,199%"
2021-04-16T22:30:17+00:00," 0.71%"," 229,858%"
2021-04-16T14:58:30+00:00," 0.66%"," 133,616%"
2021-04-16T01:41:58+00:00," 0.70%"," 210,424%"
2021-04-15T21:22:24+00:00," 0.69%"," 182,654%"
2021-04-15T06:31:23+00:00," 0.65%"," 121,514%"
2021-04-14T22:55:41+00:00," 0.68%"," 172,468%"
2021-04-14T16:52:52+00:00," 0.68%"," 175,926%"
2021-04-14T06:15:59+00:00," 0.67%"," 147,974%"
2021-04-13T21:46:42+00:00," 0.66%"," 132,583%"
2021-04-13T17:16:15+00:00," 0.69%"," 190,229%"
2021-04-13T13:51:12+00:00," 0.66%"," 136,914%"
2021-04-13T13:50:13+00:00," 0.67%"," 143,638%"
2021-04-12T17:35:14+00:00," 0.68%"," 171,900%"
2021-04-12T05:08:24+00:00," 0.66%"," 136,469%"
2021-04-11T22:35:27+00:00," 0.65%"," 114,514%"
2021-04-11T15:59:35+00:00," 0.65%"," 122,587%"
2021-04-11T05:02:21+00:00," 0.03%","     140%"
