Date,OHM Holders,sOHM Holders,OHMies
2021-06-28T00:00:00+00:00,752,4089,4841
2021-06-27T00:00:00+00:00,747,4016,4763
2021-06-26T00:00:00+00:00,743,3920,4663
2021-06-25T00:00:00+00:00,749,3858,4607
2021-06-24T00:00:00+00:00,756,3797,4553
2021-06-23T00:00:00+00:00,769,3717,4486
2021-06-22T00:00:00+00:00,774,3608,4382
2021-06-21T00:00:00+00:00,794,3594,4388
2021-06-20T00:00:00+00:00,790,3526,4316
2021-06-19T00:00:00+00:00,782,3471,4253
2021-06-18T00:00:00+00:00,783,3380,4163
2021-06-17T00:00:00+00:00,780,3357,4137
2021-06-16T00:00:00+00:00,774,3341,4115
2021-06-15T00:00:00+00:00,792,3304,4096
2021-06-14T00:00:00+00:00,831,3305,4136
2021-06-13T00:00:00+00:00,808,3323,4131
2021-06-12T00:00:00+00:00,782,3324,4106
2021-06-11T00:00:00+00:00,788,3332,4120
2021-06-10T00:00:00+00:00,786,3345,4131
2021-06-09T00:00:00+00:00,780,3328,4108
2021-06-08T00:00:00+00:00,773,3296,4069
2021-06-07T00:00:00+00:00,763,3271,4034
2021-06-06T00:00:00+00:00,763,3243,4006
2021-06-05T00:00:00+00:00,754,3209,3963
2021-06-04T00:00:00+00:00,725,3189,3914
2021-06-03T00:00:00+00:00,727,3169,3896
2021-06-02T00:00:00+00:00,727,3143,3870
2021-06-01T00:00:00+00:00,718,3128,3846
2021-05-31T00:00:00+00:00,722,3114,3836
2021-05-30T00:00:00+00:00,721,3088,3809
2021-05-29T00:00:00+00:00,716,3086,3802
2021-05-28T00:00:00+00:00,718,3072,3790
2021-05-27T00:00:00+00:00,719,3077,3796
2021-05-26T00:00:00+00:00,724,3052,3776
2021-05-25T00:00:00+00:00,711,3051,3762
2021-05-24T00:00:00+00:00,720,3046,3766
2021-05-23T00:00:00+00:00,715,3003,3718
2021-05-22T00:00:00+00:00,711,3037,3748
2021-05-21T00:00:00+00:00,714,3038,3752
2021-05-20T00:00:00+00:00,710,3040,3750
2021-05-19T00:00:00+00:00,713,3043,3756
2021-05-18T00:00:00+00:00,705,3062,3767
2021-05-17T00:00:00+00:00,703,3050,3753
2021-05-16T00:00:00+00:00,709,3051,3760
2021-05-15T00:00:00+00:00,712,3033,3745
2021-05-14T00:00:00+00:00,713,3005,3718
2021-05-13T00:00:00+00:00,706,3002,3708
2021-05-12T00:00:00+00:00,702,3017,3719
2021-05-11T00:00:00+00:00,705,3026,3731
2021-05-10T00:00:00+00:00,706,3044,3750
2021-05-09T00:00:00+00:00,702,3043,3745
2021-05-08T00:00:00+00:00,699,3049,3748
2021-05-07T00:00:00+00:00,691,3028,3719
2021-05-06T00:00:00+00:00,703,2998,3701
2021-05-05T00:00:00+00:00,714,2983,3697
2021-05-04T00:00:00+00:00,714,2952,3666
2021-05-03T00:00:00+00:00,707,2938,3645
2021-05-02T00:00:00+00:00,705,2914,3619
2021-05-01T00:00:00+00:00,718,2845,3563
2021-04-30T00:00:00+00:00,727,2771,3498
2021-04-29T00:00:00+00:00,727,2721,3448
2021-04-28T00:00:00+00:00,724,2598,3322
2021-04-27T00:00:00+00:00,724,2549,3273
2021-04-26T00:00:00+00:00,723,2490,3213
2021-04-25T00:00:00+00:00,716,2401,3117
2021-04-24T00:00:00+00:00,700,2306,3006
2021-04-23T00:00:00+00:00,679,2202,2881
2021-04-22T00:00:00+00:00,687,2124,2811
2021-04-21T00:00:00+00:00,653,1983,2636
2021-04-20T00:00:00+00:00,642,1938,2580
2021-04-19T00:00:00+00:00,643,1914,2557
2021-04-18T00:00:00+00:00,658,1884,2542
2021-04-17T00:00:00+00:00,611,1839,2450
2021-04-16T00:00:00+00:00,576,1808,2384
2021-04-15T00:00:00+00:00,572,1781,2353
2021-04-14T00:00:00+00:00,561,1757,2318
2021-04-13T00:00:00+00:00,573,1714,2287
2021-04-12T00:00:00+00:00,559,1688,2247
2021-04-11T00:00:00+00:00,562,1649,2211
2021-04-10T00:00:00+00:00,554,1574,2128
2021-04-09T00:00:00+00:00,542,1521,2063
2021-04-08T00:00:00+00:00,519,1455,1974
2021-04-07T00:00:00+00:00,509,1387,1896
2021-04-06T00:00:00+00:00,500,1332,1832
2021-04-05T00:00:00+00:00,510,1304,1814
2021-04-04T00:00:00+00:00,492,1258,1750
2021-04-03T00:00:00+00:00,474,1222,1696
2021-04-02T00:00:00+00:00,453,1168,1621
2021-04-01T00:00:00+00:00,421,1148,1569
2021-03-31T00:00:00+00:00,405,1145,1550
2021-03-30T00:00:00+00:00,400,1128,1528
2021-03-29T00:00:00+00:00,397,1041,1438
2021-03-28T00:00:00+00:00,386,1030,1416
2021-03-27T00:00:00+00:00,367,951,1318
2021-03-26T00:00:00+00:00,300,726,1026
2021-03-25T00:00:00+00:00,436,459,895
2021-03-24T00:00:00+00:00,481,356,837
2021-03-23T00:00:00+00:00,539,258,797
2021-03-22T00:00:00+00:00,2,1,3
